city,gap,spatial_nrmse,stale_gap,ours_mae,stk_mae,margin_pct,folds_won
pittsburgh,6,0.862,0.312,3.062,3.276,6.54,5/5
pittsburgh,12,0.862,0.4705,3.509,3.834,8.47,5/5
pittsburgh,24,0.862,0.5122,3.892,4.322,9.94,5/5
pittsburgh,48,0.862,0.6953,4.276,4.658,8.19,5/5
pittsburgh,72,0.862,0.8289,4.559,4.89,6.77,5/5
fresno,6,0.7393,0.3124,3.568,3.885,8.17,5/5
fresno,12,0.7393,0.4289,3.968,4.292,7.55,5/5
fresno,24,0.7393,0.502,4.163,4.486,7.19,5/5
fresno,48,0.7393,0.7985,4.751,5.062,6.15,5/5
fresno,72,0.7393,0.922,5.191,5.458,4.9,5/5
slc,6,0.6283,0.2497,4.879,4.738,-2.97,0/5
slc,12,0.6283,0.3606,5.729,5.845,1.98,5/5
slc,24,0.6283,0.4111,5.937,6.137,3.26,5/5
slc,48,0.6283,0.5355,7.406,7.541,1.79,5/5
slc,72,0.6283,0.6675,7.502,7.679,2.3,5/5
